Designator,Mid X,Mid Y,Rotation,Layer
C1,89.7642,-71.5165,90.0,top
C2,102.8642,-71.5415,90.0,top
C3,115.8142,-71.5415,90.0,top
J1,94.3142,-50.714,0.0,top
J10,90.8642,-36.979,0.0,top
J11,90.8642,-42.479,0.0,top
J12,132.5142,-65.729,270.0,top
J13,127.0142,-65.729,270.0,top
J14,90.8642,-94.779,180.0,top
J15,90.8642,-89.279,180.0,top
J16,103.7642,-36.979,0.0,top
J17,103.7642,-42.479,0.0,top
J18,132.5142,-78.629,270.0,top
J19,127.0142,-78.629,270.0,top
J2,100.3142,-50.714,0.0,top
J20,75.1142,-78.679,90.0,top
J21,80.6142,-78.679,90.0,top
J22,116.6642,-36.979,0.0,top
J23,116.6642,-42.479,0.0,top
J24,116.6642,-94.779,180.0,top
J25,116.6642,-89.279,180.0,top
J26,75.1142,-65.779,90.0,top
J27,80.6142,-65.779,90.0,top
J28,132.5142,-52.829,270.0,top
J29,127.0142,-52.829,270.0,top
J3,113.2142,-50.714,0.0,top
J30,103.7642,-94.779,180.0,top
J31,103.7642,-89.279,180.0,top
J32,75.1142,-52.879,90.0,top
J33,80.6142,-52.879,90.0,top
J34,77.9154,-88.217,180.0,top
J36,103.6792,-80.285,90.0,top
J4,90.7142,-50.714,0.0,top
J5,103.9142,-50.714,0.0,top
J6,116.8142,-50.714,0.0,top
J7,87.1142,-50.714,0.0,top
J8,107.5142,-50.714,0.0,top
J9,120.4142,-50.714,0.0,top
R1,88.7642,-67.354,90.0,top
R10,91.7642,-71.479,90.0,top
R11,104.8642,-71.504,90.0,top
R12,117.8142,-71.504,90.0,top
R13,87.7642,-71.479,90.0,top
R14,100.8642,-71.504,90.0,top
R15,113.8142,-71.504,90.0,top
R16,93.7142,-71.479,90.0,top
R17,106.8142,-71.504,90.0,top
R18,119.7642,-71.504,90.0,top
R2,101.9142,-67.354,90.0,top
R3,114.8142,-67.354,90.0,top
R4,90.7642,-67.354,90.0,top
R5,103.8642,-67.354,90.0,top
R6,116.8142,-67.354,90.0,top
R7,92.7642,-67.354,90.0,top
R8,105.8142,-67.354,90.0,top
R9,118.8142,-67.354,90.0,top
SW1,129.1142,-87.479,0.0,top
U1,90.7742,-61.104,0.0,top
U2,103.8742,-61.104,0.0,top
U3,116.8342,-61.104,0.0,top
